hero_id,move_points
1,1700
2,1560
3,1700
4,1700
5,1560
6,1560
7,1560
8,1560
9,1560
10,1560
11,1560
12,1560
13,1560
14,1900
15,1560
16,1560
17,1560
18,1560
19,1560
20,1560
21,1560
22,1560
23,1560
24,1560
25,1560
26,1560
27,1560
28,1560
29,1700
30,1560
31,1560
32,1560
33,1560
34,1900
35,1638
36,1560
37,1560
38,1900
39,1900
40,1700
41,1560
42,1560
43,1500
44,1560
45,1500
46,1560
47,1900
48,1638
49,1560
50,1560
51,1560
52,1560
53,1560
54,1560
55,1560
56,1560
57,1560
58,1560
59,1560
60,1638
61,1560
62,1560
63,1560
64,1560
65,1560
66,1500
67,1560
68,1560
69,1560
70,1560
71,1560
72,1560
73,1560
74,1560
75,1560
76,1560
77,1560
78,1560
79,1560
80,1560
81,1560
82,1560
83,1560
84,1560
85,1560
86,1560
87,1638
88,1560
89,1638
90,1560
91,1560
92,1560
93,1560
94,1560
95,1560
96,1560
97,1560
98,1560
99,1638
100,1560
