object_id,dist_start
1,413
2,373
3,386
4,93
5,466
6,480
7,240
8,440
9,773
10,733
11,226
12,173
13,413
14,506
15,413
16,613
17,280
18,693
19,706
20,613
21,466
22,226
23,373
24,440
25,693
26,373
27,680
28,506
29,360
30,386
31,480
32,466
33,613
34,320
35,320
36,453
37,800
38,653
39,480
40,400
41,320
42,626
43,666
44,746
45,466
46,480
47,680
48,533
49,546
50,586
51,786
52,453
53,693
54,400
55,346
56,346
57,346
58,266
59,453
60,773
61,493
62,266
63,280
64,280
65,213
66,386
67,400
68,226
69,333
70,413
71,760
72,466
73,613
74,546
75,493
76,413
77,320
78,640
79,333
80,600
81,320
82,213
83,586
84,413
85,720
86,453
87,253
88,493
89,333
90,360
91,680
92,306
93,306
94,400
95,520
96,253
97,306
98,440
99,333
100,600
101,320
102,520
103,360
104,653
105,533
106,653
107,346
108,213
109,520
110,280
111,706
112,333
113,386
114,333
115,453
116,280
117,333
118,440
119,306
120,706
121,480
122,746
123,426
124,560
125,333
126,66
127,280
128,546
129,453
130,560
131,693
132,333
133,346
134,426
135,520
136,453
137,373
138,426
139,400
140,440
141,493
142,493
143,333
144,533
145,573
146,573
147,373
148,680
149,320
150,280
151,506
152,733
153,200
154,760
155,413
156,413
157,346
158,173
159,293
160,546
161,400
162,386
163,346
164,653
165,133
166,453
167,493
168,466
169,493
170,493
171,453
172,560
173,226
174,373
175,173
176,573
177,13
178,373
179,320
180,746
181,346
182,426
183,0
184,680
185,493
186,306
187,306
188,213
189,346
190,400
191,320
192,413
193,426
194,626
195,306
196,493
197,586
198,426
199,466
200,680
201,666
202,640
203,320
204,720
205,440
206,346
207,333
208,373
209,440
210,440
211,293
212,413
213,453
214,506
215,386
216,466
217,466
218,746
219,413
220,480
221,506
222,453
223,813
224,626
225,453
226,173
227,560
228,373
229,453
230,613
231,506
232,520
233,506
234,426
235,413
236,333
237,413
238,546
239,440
240,506
241,493
242,466
243,653
244,440
245,440
246,573
247,520
248,506
249,346
250,546
251,600
252,506
253,493
254,426
255,306
256,240
257,333
258,333
259,693
260,400
261,693
262,493
263,720
264,586
265,533
266,493
267,120
268,186
269,480
270,413
271,613
272,413
273,400
274,426
275,200
276,466
277,200
278,360
279,546
280,266
281,440
282,560
283,600
284,520
285,506
286,453
287,666
288,346
289,386
290,666
291,386
292,653
293,573
294,453
295,693
296,693
297,453
298,546
299,533
300,733
301,480
302,586
303,680
304,560
305,493
306,226
307,720
308,520
309,280
310,386
311,360
312,360
313,426
314,386
315,773
316,653
317,333
318,493
319,360
320,453
321,720
322,520
323,413
324,546
325,640
326,400
327,413
328,533
329,600
330,506
331,466
332,280
333,373
334,386
335,573
336,360
337,333
338,493
339,613
340,693
341,733
342,413
343,520
344,640
345,626
346,386
347,773
348,293
349,560
350,213
351,413
352,466
353,493
354,613
355,546
356,600
357,666
358,453
359,493
360,600
361,546
362,186
363,333
364,453
365,400
366,373
367,373
368,466
369,640
370,573
371,546
372,560
373,333
374,440
375,400
376,400
377,613
378,626
379,386
380,346
381,666
382,506
383,213
384,573
385,626
386,146
387,320
388,426
389,320
390,173
391,560
392,426
393,293
394,453
395,453
396,813
397,440
398,640
399,360
400,226
401,240
402,293
403,573
404,400
405,546
406,480
407,360
408,560
409,506
410,413
411,440
412,480
413,560
414,560
415,320
416,200
417,320
418,360
419,360
420,453
421,426
422,226
423,360
424,253
425,400
426,173
427,106
428,106
429,413
430,373
431,333
432,573
433,440
434,333
435,720
436,173
437,413
438,680
439,493
440,493
441,533
442,373
443,440
444,440
445,626
446,173
447,160
448,733
449,573
450,493
451,453
452,146
453,466
454,426
455,226
456,493
457,333
458,346
459,533
460,360
461,466
462,333
463,160
464,360
465,440
466,506
467,733
468,560
469,426
470,506
471,400
472,640
473,226
474,333
475,493
476,320
477,720
478,520
479,560
480,573
481,666
482,440
483,373
484,280
485,386
486,373
487,466
488,293
489,373
490,400
491,440
492,466
493,346
494,373
495,480
496,360
497,360
498,346
499,240
500,640
501,826
502,826
503,146
504,253
505,213
506,266
507,506
508,186
509,160
510,320
511,400
512,413
513,386
514,800
515,733
516,613
517,533
518,560
519,600
520,733
521,533
522,253
523,626
524,493
525,253
526,293
527,266
528,280
529,506
530,440
531,533
532,253
533,733
534,773
535,666
536,653
537,160
538,240
539,240
540,680
541,693
542,680
543,680
544,453
545,400
546,800
547,240
548,426
549,386
550,333
551,613
552,613
553,746
554,386
555,480
556,453
557,453
558,440
559,413
560,426
561,426
562,346
563,360
564,306
565,546
566,333
567,533
568,493
569,506
570,573
571,586
572,586
573,480
574,453
575,466
576,533
577,253
578,306
579,240
580,653
581,466
582,586
583,520
584,480
585,520
586,546
587,493
588,466
589,440
590,386
591,160
592,306
593,680
594,493
595,453
596,706
597,306
598,306
599,333
600,560
601,506
602,493
603,506
604,480
605,506
606,573
607,573
608,453
609,200
610,706
611,240
612,520
613,626
614,466
615,426
616,600
617,640
618,666
619,626
620,453
621,400
622,426
623,533
624,266
625,266
626,386
627,333
628,533
629,480
630,360
631,493
632,346
633,466
634,520
635,493
636,453
637,520
638,480
639,480
640,360
641,453
642,493
643,506
644,480
645,466
646,640
647,386
648,400
649,386
650,373
651,186
652,346
653,360
654,453
655,213
656,680
657,666
658,706
659,346
660,533
661,226
662,266
663,546
664,546
665,600
666,200
667,186
668,346
669,173
670,573
671,173
672,533
673,360
674,533
675,533
676,693
677,320
678,466
679,413
680,426
681,240
682,733
683,733
684,386
685,346
686,786
687,680
688,226
689,373
690,386
691,426
692,493
693,453
694,426
695,666
696,720
697,693
698,600
699,480
700,120
